,DateTime,Day,Month,Day reg,Night reg,L1 reg,spare1,m1,m2,m3,m4,m5,m6,spare1,M1.2,M2.2,M3.2,M4.2,M5.2,M6.2
345,2015-07-17,Fri,,M1.2,M2.2,,,,,,,,,,D,N,,,,
346,2015-07-18,Sat,,M1.2,M2.2,M4.2,,,,,,,,,D,N,,W,,
347,2015-07-19,Sun,,M1.2,M2.2,M4.2,,,,,,,,,D,N,,W,,
348,2015-07-20,Mon,,m3,m1,,,N,,D,,,,,,,,,,
349,2015-07-21,Tue,,m3,m1,,,N,,D,,,,,,,,,,
350,2015-07-22,Wed,,m3,m1,,,N,,D,,,,,,,,,,
351,2015-07-23,Thu,,m3,m1,,,N,,D,,,,,,,,,,
352,2015-07-24,Fri,,m2,M3.2,,,,D,,,,,,,,N,,,
353,2015-07-25,Sat,,m2,M3.2,m4,,,D,,W,,,,,,N,,,
354,2015-07-26,Sun,,m2,M3.2,m4,,,D,,W,,,,,,N,,,
355,2015-07-27,Mon,,M5.2,M1.2,,,,,,,,,,N,,,,D,
356,2015-07-28,Tue,,M5.2,M1.2,,,,,,,,,,N,,,,D,
357,2015-07-29,Wed,,M5.2,M1.2,,,,,,,,,,N,,,,D,
358,2015-07-30,Thu,,M5.2,M1.2,,,,,,,,,,N,,,,D,
359,2015-07-31,Fri,,m5,m3,,,,,N,,D,,,,,,,,
360,2015-08-01,Sat,,m5,m3,,,,,N,,D,,,,,,W,,
361,2015-08-02,Sun,,m5,m3,,,,,N,,D,,,,,,W,,
362,2015-08-03,Mon,,m6,m6,M6.2,,,,,,,D,,,,,,,N
363,2015-08-04,Tue,,m6,m6,M6.2,,,,,,,D,,,,,,,N
